"data","m","pblh.m.","ustar.m.s.","VelocVento","DirVento","Insolacao","Irradiacao","Precipitacao","PressaoMED","TempMED","TempMAX","UR","MP10..µg.m3..","O3..µg.m3.","CO..ppm.","MP2.5..µg.m3.","NO2..µg.m3.","SO2..µg.m3.","dias_sem_chuva"
"2006-06-05",6,693.72,0.13546,2.875,"NNE",1.2,8.23597361307541,0,927.116971446382,17.4625,22.9,79.0416666666667,56.5680640714286,37.540178625,1.8390873,NA,67.2731885,15.512680975,12
"2006-06-06",6,882.07,0.16706,3.79166666666667,"SE",4.1,9.82791510302793,0,929.104898093793,17.925,23,83.125,55.889881,48.296875,1.45059523333333,NA,69.8129743333333,12.9420292,13
"2006-06-07",6,728.42,0.065089,3.91666666666667,"NE",7.5,12.8684286824523,0,929.662017260415,17.975,25.1,79,71.4370748571429,76.6190475714286,2.93333334444444,NA,83.0991445,13.18478275,14
"2006-06-08",6,936.47,0.16499,4.41666666666667,"ESE",4.6,10.4003411688629,0,929.72019696884,16.0416666666667,22.8,85,73.4832637857143,43.0714285714286,2.63928572222222,NA,70.8369565,15.44565225,15
"2006-06-09",6,1427.9,0.2336,6.625,"NE",7.8,13.8735257850993,0,928.274146007285,17.075,24,78.4583333333333,75.3458179285714,39.171875,3.80714285555556,NA,68.13043475,17.0108695,16
"2006-06-10",6,1913.4,0.36987,4.125,"NNE",7.5,12.92790524491,0,926.401562016455,17.3916666666667,24.6,73.2916666666667,84.2818026428571,44.828125,5.79437831111111,NA,56.8749758,14.89130425,17
"2006-06-11",6,1314.8,0.19014,3.29166666666667,"NW",1.5,8.36389113922332,0.8,927.489789163397,16.35,21.4,84.8333333333333,61.7756262142857,51.125,4.12222222222222,NA,41.176201,10.119565125,0
"2006-06-12",6,554.52,0.22061,5.33333333333333,"ESE",1.7,6.98676392692775,0.2,931.457571678657,15.975,18.9,89.125,39.5511905,29.890625125,1.32611111111111,NA,50.6869564,11.42391305,0
"2006-06-13",6,883.24,0.12779,5.79166666666667,"ENE",6.6,12.9900453479361,0,932.13970777177,16.6791666666667,24,79.6666666666667,74.0684526428571,52.21875,2.48214284444444,NA,78.8549402,13.83152185,1
"2006-06-14",6,1288.4,0.14923,3.08333333333333,"ENE",8.5,13.4935877448031,0,930.862805834345,16.5625,25,77.375,90.5527464615385,63.109375,5.51011905555556,NA,93.5885368,16.268342425,2
"2006-06-15",6,1075.8,0.24661,2.83333333333333,"W",10.1,15.0820312487052,0,928.986927110597,16.175,25.4,72.9166666666667,88.3497606923077,89.897321375,4.42440475555556,NA,71.7826096,13.3722825,3
"2006-06-16",6,955.01,0.19508,4.25,"SE",1.6,6.54741216248818,0.8,930.833976468709,13.8083333333333,18.7,90.9166666666667,59.8315600833333,30.1607142857143,3.108928575,NA,49.147826,10.76086945,0
"2006-06-17",6,894.47,0.15427,4.91666666666667,"E",4.8,10.3059034129397,1.1,931.685090553907,15.5583333333333,21,85.9583333333333,38.0703913333333,64.7142857142857,1.27946428625,NA,45.1739132,8.13043485,0
"2006-06-18",6,988.69,0.23034,6.45833333333333,"ESE",5.6,10.087870433776,0,932.181001043995,15.975,20.8,83.75,53.3052398333333,52.1190475714286,1.06887755142857,NA,61.3130434,8.57004835,1
"2006-06-19",6,1257.5,0.15321,7.16666666666667,"NE",7,13.6287327816365,0,930.110808369661,17.3583333333333,24.3,77.0833333333333,70.14374725,49.4821428571429,2.92857142857143,NA,71.6695652,14.9492753333333,2
"2006-06-20",6,1392.5,0.34604,4.45833333333333,"NNE",9.1,14.856554153921,0,930.205256296923,17.075,25.2,70.4166666666667,77.80902775,52.9642857142857,4.77083333333333,NA,67.8521738,18.698946,3
"2006-06-21",6,1554.9,0.41989,6.125,"NW",9.1,15.0728014730247,0,929.843872118461,17.4125,25.1,67.625,91.1600095833333,50.752551,4.58086734285714,NA,83.9362322,17.55702975,4
"2006-06-22",6,1243.4,0.18012,3.5,"SW",8.5,13.7717063620168,0,931.148842314118,17.5208333333333,26.4,75.4166666666667,76.9260653571429,56.4583332857143,3.16836734285714,NA,77.7543272,14.17391305,5
"2006-06-23",6,970.94,0.13897,3.75,"SE",8.5,14.3500631033109,0,931.586584705383,17.5375,26.1,77.7083333333333,72.7788342142857,53.546875,2.6361607125,NA,76.8350592,14.8115943333333,6
"2006-06-24",6,1060.9,0.25719,6.20833333333333,"NE",6.8,14.0615044029469,0,930.200048792985,16.5708333333333,23.8,79.5416666666667,64.930568,49.526041625,2.695758925,NA,56.3383398,10.8405796,7
"2006-06-25",6,1678.1,0.42548,7.625,"N",7.4,12.9059060615357,1.7,927.333971352305,18.2541666666667,25.8,70.7916666666667,43.6755952857143,50.0595238571429,2.18616071375,NA,46.1003624,6.7826087,0
"2006-06-26",6,1294,0.69921,10.5416666666667,"WNW",0.1,5.89519404247639,17.1,923.624732907337,16.65,18.4,83.9583333333333,25.1730443571429,26.694196375,1.491071425,NA,46.2393374,9.17391303333333,0
"2006-06-27",6,1171.2,0.22083,7,"SSE",8.4,14.4267250246056,0,929.260132897279,12.9666666666667,16.7,77.375,26.0386905,38.453125,1.1662946375,NA,37.1182214,8.45507243333333,1
"2006-06-28",6,1069.4,0.31858,6.91666666666667,"SE",1.5,9.00579133837843,0,934.241492041787,11.5458333333333,15.7,84.5833333333333,33.0029761428571,32.29241075,1.1161458375,NA,50.5021133333333,11.3636991,2
"2006-06-29",6,1002.7,0.24506,7.45833333333333,"E",6.2,11.9722913822524,0,932.205579278148,12.925,17.7,82.9583333333333,52.5241421428571,37.084821375,1.57638888888889,NA,72.039526,13.5253625,3
"2006-06-30",6,794.16,0.10784,5.16666666666667,"NE",4.8,10.8895653629671,0,932.083847438147,14.4333333333333,21.3,87.5,57.0061314615385,45.959821375,1.87559523333333,NA,76.7994078333333,15.68478275,4
"2006-07-01",7,703.06,0.17816,4.66666666666667,"ENE",6.3,13.6410990751615,0,932.224769929285,15.4583333333333,22.8,85,54.1897993076923,61.6875,1.90952382222222,NA,60.5724636666667,13.52880425,5
"2006-07-02",7,312.68,0.073231,2.79166666666667,"NW",0,3.65789916852054,12.3,931.62169398898,14.6916666666667,16.4,94.75,46.4679486153846,10.3794642875,2.75992063333333,NA,62.7826086666667,9.58695665,0
"2006-07-03",7,813.07,0.13036,2.75,"ESE",5.3,10.6077598850734,0,932.365136641131,14.9791666666667,20.1,85.0833333333333,48.5595635384615,48.252232125,1.51031745444444,NA,76.0434778333333,12.250000125,1
"2006-07-04",7,890.29,0.28142,4.20833333333333,"WNW",9.2,15.0999710876136,0,931.115318340694,15.8375,23.7,74.125,74.4527389230769,47.850446375,3.88214285555556,NA,98.2042158333333,15.2826085,2
"2006-07-05",7,1030.3,0.13477,2.375,"WNW",8.6,14.5252364643563,0,930.980965150941,14.9166666666667,24,77.9583333333333,74.5008739230769,73.5214285714286,3.78677248888889,NA,97.3853753333333,16.783644,3
"2006-07-06",7,590.26,0.12857,3,"ESE",8.5,14.4576427318022,0,931.881748315619,14.5375,23.3,82.1666666666667,74.0089186153846,68.0841837142857,2.96759257777778,NA,92.1660081666667,19.7391303333333,4
"2006-07-07",7,869.83,0.23436,4.54166666666667,"NE",8.8,14.9701821767218,0,929.582067711866,16.6708333333333,25.6,74.5,83.1063266923077,64.1071428571429,4.953125,NA,99.965745,19.5797103333333,5
"2006-07-08",7,761.45,0.32553,4.08333333333333,"NE",9.4,14.903380576528,0,926.875263584197,18.6166666666667,27.7,70.4166666666667,75.9068235384615,65.2678571428571,5.11473215,NA,87.0942026666667,18,6
